key,value,timestamp,topic,partition,offset
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.4652247, ""volume"": 12104.21046438, ""timestamp"": ""2024-12-08T18:15:23.131582Z"", ""timestamp_ms"": 1733681723131}",1733681721776,trades,0,30216
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.4652247, ""volume"": 5376.52592626, ""timestamp"": ""2024-12-08T18:15:23.131582Z"", ""timestamp_ms"": 1733681723131}",1733681721776,trades,0,30217
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.4652247, ""volume"": 13988.0, ""timestamp"": ""2024-12-08T18:15:23.131582Z"", ""timestamp_ms"": 1733681723131}",1733681721776,trades,0,30218
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.4652247, ""volume"": 3037.5, ""timestamp"": ""2024-12-08T18:15:23.131582Z"", ""timestamp_ms"": 1733681723131}",1733681721777,trades,0,30219
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.465248, ""volume"": 5376.52592626, ""timestamp"": ""2024-12-08T18:15:23.131582Z"", ""timestamp_ms"": 1733681723131}",1733681721777,trades,0,30220
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.4652713, ""volume"": 3037.5, ""timestamp"": ""2024-12-08T18:15:23.131582Z"", ""timestamp_ms"": 1733681723131}",1733681721777,trades,0,30221
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.4652767, ""volume"": 10954.70230596, ""timestamp"": ""2024-12-08T18:15:23.131582Z"", ""timestamp_ms"": 1733681723131}",1733681721777,trades,0,30222
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.4652934, ""volume"": 233.38584515, ""timestamp"": ""2024-12-08T18:15:23.131582Z"", ""timestamp_ms"": 1733681723131}",1733681721778,trades,0,30223
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.4652963, ""volume"": 8602.45221828, ""timestamp"": ""2024-12-08T18:15:23.131582Z"", ""timestamp_ms"": 1733681723131}",1733681721778,trades,0,30224
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.4653016, ""volume"": 233.38584515, ""timestamp"": ""2024-12-08T18:15:23.131582Z"", ""timestamp_ms"": 1733681723131}",1733681721778,trades,0,30225
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.4653123, ""volume"": 7553.44059219, ""timestamp"": ""2024-12-08T18:15:23.131582Z"", ""timestamp_ms"": 1733681723131}",1733681721778,trades,0,30226
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.4653179, ""volume"": 3037.5, ""timestamp"": ""2024-12-08T18:15:23.131582Z"", ""timestamp_ms"": 1733681723131}",1733681721778,trades,0,30227
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.4653273, ""volume"": 644.70749943, ""timestamp"": ""2024-12-08T18:15:23.131582Z"", ""timestamp_ms"": 1733681723131}",1733681721779,trades,0,30228
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.4653664, ""volume"": 1430.7, ""timestamp"": ""2024-12-08T18:15:23.131582Z"", ""timestamp_ms"": 1733681723131}",1733681721779,trades,0,30229
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.4654315, ""volume"": 2252.89337694, ""timestamp"": ""2024-12-08T18:15:23.131582Z"", ""timestamp_ms"": 1733681723131}",1733681721779,trades,0,30230
